Year,Receipts_UHAA_B,Outlays_UHAA_B,Baseline_Fed_Outlays_B,Delta_Deficit_B,Cumulative_Delta_B
2026,4083.2,5089.0,2305.9890000000005,1300.1890000000003,1300.1890000000003
2027,4265.563999999999,5236.580999999999,2421.28845,1450.2714500000002,2750.4604500000005
2028,4456.106779999999,5388.441848999999,2542.3528725000006,1610.0178035000008,4360.478253500001
2029,4655.1958331,5544.706662620998,2669.470516125001,1779.9596866040024,6140.437940104004
2030,4863.215178549499,5705.5031558370065,2802.944041931251,1960.6560646437433,8101.094004747747
2031,5080.566105203425,5870.96274735628,2943.091244027814,2152.694601874959,10253.788606622706
2032,5307.6679484291635,6041.220667029611,3090.2458062292044,2356.693087628757,12610.481694251463
2033,5544.9589019698915,6216.416066373469,3244.758096540664,2573.3009321370864,15183.782626388549
2034,5792.89686633718,6396.692132298299,3406.9960013676978,2803.2007354065786,17986.983361795126
2035,6051.96033537657,6582.196204134949,3577.3458014360826,3047.1099326777035,21034.09329447283
